FIPS_Code_1,FIPS_Code_2,State,Area_name,Median_Household_Income_2019,Counts,Population Density (Per Sq. Mile)
01001,01001,AL,"Autauga County, AL","51,771",0,93.16273
01003,01003,AL,"Baldwin County, AL","58,233",0,133.8703
01005,01005,AL,"Barbour County, AL","59,871",0,28.65624
01007,01007,AL,"Bibb County, AL","35,972",0,36.13558
01009,01009,AL,"Blount County, AL","47,918",0,89.45139
01011,01011,AL,"Bullock County, AL","52,902",0,16.4544
01013,01013,AL,"Butler County, AL","31,906",0,25.52396
01015,01015,AL,"Calhoun County, AL","39,944",1,189.1793
01017,01017,AL,"Chambers County, AL","47,747",0,56.42341
01019,01019,AL,"Cherokee County, AL","42,015",0,46.79644
01021,01021,AL,"Chilton County, AL","45,982",0,63.58506
01023,01023,AL,"Choctaw County, AL","49,692",0,14.14938
01025,01025,AL,"Clarke County, AL","39,808",0,19.48288
01027,01027,AL,"Clay County, AL","43,822",0,22.08255
01029,01029,AL,"Cleburne County, AL","40,562",0,26.63075
01031,01031,AL,"Coffee County, AL","51,276",0,76.08698
01033,01033,AL,"Colbert County, AL","57,299",0,92.40231
01035,01035,AL,"Conecuh County, AL","46,683",0,14.57775
01037,01037,AL,"Coosa County, AL","41,539",0,16.52608
01039,01039,AL,"Covington County, AL","42,024",0,36.09693
01041,01041,AL,"Crenshaw County, AL","44,836",0,22.73739
01043,01043,AL,"Cullman County, AL","43,309",0,112.7649
01045,01045,AL,"Dale County, AL","50,897",0,87.822
01047,01047,AL,"Dallas County, AL","45,120",0,39.99947
01049,01049,AL,"DeKalb County, AL","34,034",0,91.7644
01051,01051,AL,"Elmore County, AL","44,277",0,131.2062
01053,01053,AL,"Escambia County, AL","62,310",0,39.20452
01055,01055,AL,"Etowah County, AL","42,712",0,192.0207
01057,01057,AL,"Fayette County, AL","43,047",0,26.27757
01059,01059,AL,"Franklin County, AL","44,212",0,49.63729
01061,01061,AL,"Geneva County, AL","44,874",0,45.98415
01063,01063,AL,"Greene County, AL","43,089",0,12.86507
01065,01065,AL,"Hale County, AL","28,699",0,22.99582
01067,01067,AL,"Henry County, AL","40,745",0,30.49932
01069,01069,AL,"Houston County, AL","48,597",0,180.5656
01071,01071,AL,"Jackson County, AL","50,138",0,48.10075
01073,01073,AL,"Jefferson County, AL","44,322",0,593.5496
01075,01075,AL,"Lamar County, AL","54,127",0,22.95625
01077,01077,AL,"Lauderdale County, AL","42,686",0,138.5542
