FIPS_Code,State,Area_name,Median_Household_Income_2019,Counts
01000,AL,Alabama,"51,771",0
01001,AL,"Autauga County, AL","58,233",0
01003,AL,"Baldwin County, AL","59,871",0
01005,AL,"Barbour County, AL","35,972",0
01007,AL,"Bibb County, AL","47,918",0
01009,AL,"Blount County, AL","52,902",0
01011,AL,"Bullock County, AL","31,906",0
01013,AL,"Butler County, AL","39,944",0
01015,AL,"Calhoun County, AL","47,747",1
01017,AL,"Chambers County, AL","42,015",0
01019,AL,"Cherokee County, AL","45,982",0
01021,AL,"Chilton County, AL","49,692",0
01023,AL,"Choctaw County, AL","39,808",0
01025,AL,"Clarke County, AL","43,822",0
01027,AL,"Clay County, AL","40,562",0
01029,AL,"Cleburne County, AL","51,276",0
01031,AL,"Coffee County, AL","57,299",0
01033,AL,"Colbert County, AL","46,683",0
01035,AL,"Conecuh County, AL","41,539",0
01037,AL,"Coosa County, AL","42,024",0
01039,AL,"Covington County, AL","44,836",0
01041,AL,"Crenshaw County, AL","43,309",0
01043,AL,"Cullman County, AL","50,897",0
01045,AL,"Dale County, AL","45,120",0
01047,AL,"Dallas County, AL","34,034",0
01049,AL,"DeKalb County, AL","44,277",0
01051,AL,"Elmore County, AL","62,310",0
01053,AL,"Escambia County, AL","42,712",0
01055,AL,"Etowah County, AL","43,047",0
01057,AL,"Fayette County, AL","44,212",0
01059,AL,"Franklin County, AL","44,874",0
01061,AL,"Geneva County, AL","43,089",0
01063,AL,"Greene County, AL","28,699",0
01065,AL,"Hale County, AL","40,745",0
01067,AL,"Henry County, AL","48,597",0
01069,AL,"Houston County, AL","50,138",0
01071,AL,"Jackson County, AL","44,322",0
01073,AL,"Jefferson County, AL","54,127",0
01075,AL,"Lamar County, AL","42,686",0
01077,AL,"Lauderdale County, AL","48,188",0
01079,AL,"Lawrence County, AL","47,797",0
01081,AL,"Lee County, AL","54,160",0
01083,AL,"Limestone County, AL","64,729",0
01085,AL,"Lowndes County, AL","33,930",0
01087,AL,"Macon County, AL","34,281",0
01089,AL,"Madison County, AL","68,609",0
01091,AL,"Marengo County, AL","38,838",0
01093,AL,"Marion County, AL","44,675",0
01095,AL,"Marshall County, AL","48,913",0
01097,AL,"Mobile County, AL","49,492",2
01099,AL,"Monroe County, AL","40,005",0
01101,AL,"Montgomery County, AL","52,711",0
01103,AL,"Morgan County, AL","54,355",0
01105,AL,"Perry County, AL","29,572",0
